Song Title,Streams,Daily
Message In A Bottle (Taylor's Version) (From The Vault),"230,992,576","132,777"
Mine (Taylor's Version),"229,640,256","169,401"
long story short,"228,874,111","98,269"
All You Had To Do Was Stay,"227,440,829","22,794"
Picture To Burn,"225,894,837","94,542"
cowboy like me,"223,931,796","96,355"
Bigger Than The Whole Sky,"217,905,551","98,004"
happiness,"216,864,840","80,481"
hoax,"216,377,176","82,488"
The Alchemy,"215,151,461","245,204"
Paris,"214,684,213","92,044"
So It Goes...,"214,429,379","83,691"
epiphany,"210,846,332","71,833"
coney island (feat. The National),"208,478,768","77,689"
Better Than Revenge,"206,987,691","41,915"
Bad Blood,"205,092,844","69,674"
* The Joker And The Queen (feat. Taylor Swift),"204,589,812","61,136"
Clean,"203,319,185","22,772"
dorothea,"203,311,942","81,701"
The Very First Night (Taylor's Version) (From The Vault),"201,348,394","82,881"
* us. (feat. Taylor Swift),"198,892,618","409,158"
The Prophecy,"194,049,110","275,228"
Sparks Fly,"193,623,246","36,057"
Fresh Out The Slammer,"193,155,915","304,772"
imgonnagetyouback,"191,567,887","251,037"
Out Of The Woods (Taylor's Version),"191,087,731","172,204"
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),"188,720,323","116,973"
Shake It Off (Taylor's Version),"186,055,278","175,643"
the lakes - bonus track,"185,293,641","80,449"
New Romantics (Taylor's Version),"182,367,673","182,762"
Long Live (Taylor's Version),"181,768,143","139,240"
High Infidelity,"179,110,785","71,671"
How You Get The Girl,"178,355,253","24,482"
Better Man (Taylor's Version) (From The Vault),"172,036,412","84,475"
How Did It End?,"165,590,565","208,031"
The Black Dog,"164,684,314","192,862"
Soon You’ll Get Better (feat. The Chicks),"163,017,447","50,794"
Better Than Revenge (Taylor's Version),"160,219,827","98,370"
The Story Of Us,"158,194,104","19,070"
I Wish You Would,"157,692,666","15,027"
Sparks Fly (Taylor’s Version),"157,111,641","123,035"
Welcome To New York (Taylor's Version),"156,735,606","115,974"
Wonderland,"155,939,097","17,316"
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),"154,684,939","42,662"
Dear Reader,"154,166,999","75,903"
* Two Is Better Than One (feat. Taylor Swift),"154,100,766","49,772"
* Renegade,"154,062,986","88,807"
I Can Fix Him (No Really I Can),"153,949,501","137,919"
Speak Now,"151,401,430","20,660"
Tim McGraw,"149,847,689","53,351"
It’s Nice To Have A Friend,"149,630,611","44,498"
You Are In Love,"149,501,559","19,203"
Dear John,"146,330,263","15,091"
Babe (Taylor's Version) (From The Vault),"145,443,502","62,725"
State Of Grace (Taylor's Version),"144,187,156","56,498"
Clara Bow,"144,116,474","132,196"
Glitch,"142,703,577","54,223"
closure,"142,209,481","49,391"
Should've Said No,"140,570,824","54,806"
Clean (Taylor's Version),"140,218,811","124,845"
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),"139,353,216","92,129"
I Know Places,"138,790,015","13,457"
Suburban Legends (Taylor's Version) (From The Vault),"137,053,696","82,657"
Begin Again,"135,248,878","22,286"
Come Back...Be Here (Taylor's Version),"134,914,691","74,098"
I Hate It Here,"134,360,422","170,074"
Only The Young - Featured in Miss Americana,"132,711,902","32,114"
Forever & Always (Taylor’s Version),"132,219,264","65,516"
All You Had To Do Was Stay (Taylor's Version),"131,916,331","105,605"
Dear John (Taylor's Version),"131,790,564","73,468"
Begin Again (Taylor's Version),"131,434,441","94,023"
it’s time to go - bonus track,"130,929,883","57,630"
Fearless,"130,718,871","29,911"
Last Kiss,"128,717,526","17,607"
Treacherous (Taylor's Version),"128,630,594","52,207"
Speak Now (Taylor's Version),"127,654,943","71,115"
Crazier,"127,345,036","60,861"
Peter,"127,216,322","161,892"
Bad Blood (Taylor's Version),"126,968,031","98,771"
Chloe or Sam or Sophia or Marcus,"124,850,894","159,033"
The Story Of Us (Taylor's Version),"124,671,145","85,670"
White Horse (Taylor’s Version),"124,660,914","92,205"
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),"123,902,457","37,910"
Fifteen,"123,266,245","20,069"
Mean (Taylor's Version),"123,183,597","69,707"
The Bolter,"121,666,709","169,093"
You Are In Love (Taylor's Version),"120,338,580","148,617"
Fifteen (Taylor’s Version),"119,540,481","49,025"
The Albatross,"117,538,299","123,065"
* Babe,"117,083,176","13,569"
Foolish One (Taylor’s Version) (From The Vault),"116,877,193","70,866"
Sad Beautiful Tragic (Taylor's Version),"116,729,515","61,110"
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),"116,161,775","133,682"
White Horse,"115,824,346","19,264"
I Wish You Would (Taylor's Version),"115,598,944","83,267"
This Love,"112,645,509","13,376"
thanK you aIMee,"112,570,976","97,985"
Forever Winter (Taylor's Version) (From The Vault),"109,965,637","43,158"
Timeless (Taylor’s Version) (From The Vault),"109,176,026","72,013"
I Almost Do (Taylor's Version),"108,688,185","51,757"
Haunted,"108,631,703","13,396"
Last Kiss (Taylor's Version),"107,783,202","89,316"
Long Live,"107,446,254","22,665"
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),"106,673,869","64,102"
Haunted (Taylor's Version),"106,010,719","85,185"
Hey Stephen (Taylor’s Version),"105,920,974","47,616"
I Look in People's Windows,"104,987,982","112,647"
Karma (feat. Ice Spice),"104,150,611","35,794"
Holy Ground (Taylor's Version),"104,046,593","47,935"
Stay Stay Stay (Taylor's Version),"102,890,962","35,758"
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),"102,276,971","56,733"
Wonderland (Taylor's Version),"101,077,476","81,786"
Cassandra,"100,707,664","100,354"
How You Get The Girl (Taylor's Version),"100,607,313","87,378"
I Know Places (Taylor's Version),"99,572,751","80,732"
When Emma Falls in Love (Taylor’s Version) (From The Vault),"97,888,505","53,174"
Never Grow Up,"91,710,427","17,027"
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),"91,688,802","37,477"
The Lucky One (Taylor's Version),"90,353,043","36,000"
